Customer_ID,Recency_Days,Total_Orders,Total_Spend,Total_Quantity,Total_Discount,Avg_Session_Duration,Avg_Pages_Viewed,Avg_Delivery_Time,Avg_Rating,Churn
CUST_04228,376,1,303.05,5,0.0,13.0,12.0,4.0,5.0,1
CUST_04677,22,4,2090.32,16,340.51,13.5,7.75,7.0,3.5,0
CUST_00801,53,3,811.71,6,28.56,16.666666666666668,9.666666666666666,4.666666666666667,5.0,0
CUST_03672,12,4,6525.85,12,704.07,15.25,7.0,7.75,3.0,0
CUST_04194,109,1,3968.2,5,0.0,22.0,10.0,7.0,3.0,1
CUST_02969,240,2,1698.04,7,0.0,17.0,9.5,6.5,4.0,1
CUST_04794,2,10,23646.45,34,1410.94,13.3,9.4,6.8,4.3,0
CUST_04369,13,7,7052.94,13,378.2,12.571428571428571,7.428571428571429,8.142857142857142,4.285714285714286,0
CUST_02777,74,2,1130.67,9,0.0,15.0,11.0,6.5,2.5,0
CUST_02971,10,4,1179.04,11,13.2,12.0,9.25,3.5,4.25,0
CUST_03868,19,3,3531.8,6,319.71,16.666666666666668,8.333333333333334,4.666666666666667,3.6666666666666665,0
CUST_01744,3,10,4478.59,28,408.33,13.2,8.5,6.6,3.7,0
CUST_03949,47,9,11759.1,24,316.82,16.333333333333332,9.555555555555555,5.777777777777778,3.4444444444444446,0
CUST_03803,59,7,3589.02,26,132.5,13.428571428571429,8.714285714285714,6.0,3.7142857142857135,0
CUST_02025,24,9,9842.5,29,316.69,14.22222222222222,10.11111111111111,7.555555555555555,3.7777777777777777,0
CUST_02275,119,2,546.3,8,40.4,11.0,10.0,4.0,4.5,1
CUST_00100,85,1,405.46,1,34.92,17.0,7.0,6.0,5.0,0
CUST_04922,344,1,82.68,2,0.0,19.0,8.0,6.0,3.0,1
CUST_03408,203,2,945.27,7,0.0,12.5,11.5,2.5,4.5,1
CUST_04246,3,9,36295.3,28,1476.51,13.88888888888889,9.88888888888889,7.333333333333333,4.333333333333333,0
CUST_04620,60,3,440.01,12,50.370000000000005,16.333333333333332,10.0,3.0,4.0,0
CUST_04917,426,2,2470.9100000000003,4,127.84,11.5,8.0,9.5,4.5,1
CUST_00192,256,1,90.92,4,0.0,11.0,6.0,5.0,5.0,1
CUST_04697,5,4,7818.25,9,106.33,14.25,7.0,4.75,2.75,0
CUST_01785,31,7,18620.87,22,82.21,15.428571428571429,10.142857142857142,5.285714285714286,4.142857142857143,0
CUST_01533,6,3,2614.17,9,0.0,16.333333333333332,8.666666666666666,8.0,4.333333333333333,0
CUST_02835,205,2,1120.61,3,0.0,14.0,10.5,5.0,4.5,1
CUST_04445,1,3,988.46,7,88.16999999999999,15.666666666666666,12.333333333333334,7.0,4.666666666666667,0
CUST_04916,95,2,99.41,7,3.57,17.0,10.0,3.5,4.5,1
CUST_01599,306,2,891.8399999999999,5,106.61,17.0,8.0,3.5,1.5,1
CUST_01780,145,3,949.04,11,143.85,15.666666666666666,10.0,8.0,4.666666666666667,1
CUST_04901,343,1,33.73,1,0.0,16.0,4.0,4.0,4.0,1
CUST_02575,65,3,4206.67,8,12.6,15.0,10.666666666666666,6.666666666666667,4.0,0
CUST_03399,90,3,772.22,5,25.57,11.666666666666666,7.333333333333333,6.333333333333333,4.0,0
CUST_03976,375,2,1428.78,6,0.0,14.0,8.5,6.0,5.0,1
CUST_03771,19,5,10839.68,25,1623.62,14.2,8.4,6.2,3.8,0
CUST_00167,136,9,11605.46,34,1390.73,15.333333333333334,7.555555555555555,7.111111111111111,3.4444444444444446,1
CUST_01752,77,3,1854.7200000000005,6,131.95999999999998,14.333333333333334,9.0,6.333333333333333,4.0,0
CUST_01480,416,1,217.8,5,0.0,17.0,8.0,10.0,5.0,1
CUST_01025,106,3,1421.33,7,119.57,15.666666666666666,9.666666666666666,6.666666666666667,3.6666666666666665,1
CUST_01789,428,1,107.2,4,0.0,18.0,10.0,11.0,5.0,1
CUST_02265,72,3,8813.96,11,565.69,15.333333333333334,9.0,6.333333333333333,5.0,0
CUST_02474,0,3,1341.03,11,0.0,16.0,9.666666666666666,5.333333333333333,4.333333333333333,0
CUST_01823,169,2,644.52,7,0.0,14.0,10.0,6.0,3.0,1
CUST_01221,18,1,468.18,1,0.0,18.0,6.0,5.0,2.0,0
CUST_01667,194,4,8014.280000000001,14,855.74,15.25,8.75,5.5,3.5,1
